X Y Z
-486631.375000 -1117346.000000 253.470001
-486633.468750 -1117375.625000 253.350006
-486628.375000 -1117356.500000 253.710007
-486627.562500 -1117375.500000 253.440002
-486625.437500 -1117365.250000 253.839996
-486625.281250 -1117362.750000 253.820007
-486624.218750 -1117380.000000 253.350006
-486620.125000 -1117355.375000 253.919998
-486620.750000 -1117363.125000 254.020004
-486616.531250 -1117355.750000 254.149994
-486619.593750 -1117382.750000 253.429993
-486617.718750 -1117370.000000 253.960007
-486614.562500 -1117365.125000 254.220001
-486611.843750 -1117358.250000 254.399994
-486645.500000 -1117405.625000 251.580002
-486646.250000 -1117417.500000 251.779999
-486643.656250 -1117431.625000 251.449997
-486643.312500 -1117428.250000 251.800003
-486640.937500 -1117410.000000 251.919998
-486640.687500 -1117406.375000 251.880005
-486634.968750 -1117405.500000 252.279999
-486634.968750 -1117427.000000 251.990005
-486628.593750 -1117407.750000 252.800003
-486628.562500 -1117421.875000 252.729996
-486625.812500 -1117408.875000 252.929993
-486626.218750 -1117423.250000 252.720001
-486624.281250 -1117417.750000 253.110001
-486619.968750 -1117422.375000 253.100006
-486642.843750 -1117464.625000 249.550003
-486638.906250 -1117434.125000 251.889999
-486641.281250 -1117469.375000 249.389999
-486640.343750 -1117464.750000 249.800003
-486641.468750 -1117481.125000 249.809998
-486638.156250 -1117467.125000 249.710007
-486639.125000 -1117482.375000 250.089996
-486635.531250 -1117457.000000 250.610001
-486632.875000 -1117434.000000 252.350006
-486635.562500 -1117478.500000 250.039993
-486635.343750 -1117473.250000 249.889999
-486630.218750 -1117478.375000 250.500000
-486639.468750 -1117487.000000 249.899994
-486634.531250 -1117485.875000 250.259995
